Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
325.0;55.0;70.0;3.3;17.0;11.0;3.3;4.0;37.0;31.0;3.7;.8;.0;1.0;1.0;.0;1;00020143601
330.0;60.0;79.0;3.7;17.0;17.0;3.7;3.4;37.0;32.0;3.6;.9;.0;1.0;1.0;.0;1;00020143643
320.0;63.0;61.0;3.4;15.0;7.0;3.4;3.2;33.0;19.0;3.3;.6;1.0;.0;1.0;.0;1;00020143676
355.0;69.0;77.0;2.8;18.0;7.0;2.8;3.0;33.0;14.0;2.9;.4;1.0;.0;1.0;.0;0;00020143862
326.0;69.0;67.0;2.7;17.0;9.0;2.7;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020143879
338.0;61.0;74.0;4.1;17.0;17.0;4.1;3.8;37.0;37.0;3.9;1.0;1.0;.0;1.0;.0;1;00020143986
347.0;65.0;74.0;3.6;20.0;17.0;3.6;4.1;39.0;36.0;3.8;.9;1.0;.0;1.0;.0;1;00020143998
338.0;67.0;75.0;3.6;17.0;14.0;3.6;3.8;33.0;30.0;3.7;.9;.0;1.0;1.0;.0;1;00020144024
328.0;62.0;74.0;3.4;17.0;11.0;3.4;3.8;37.0;31.0;3.6;.8;.0;1.0;1.0;.0;1;00020144106
355.0;79.0;81.0;3.7;17.0;17.0;3.7;3.4;31.0;31.0;3.6;1.0;.0;1.0;1.0;.0;1;00020144111
339.0;60.0;79.0;2.8;20.0;12.0;2.8;2.9;33.0;20.0;2.8;.6;1.0;.0;1.0;.0;0;00020144641
318.0;65.0;61.0;.0;.0;.0;.0;2.2;18.0;4.0;2.2;.2;1.0;.0;1.0;.0;0;00020120761
300.0;58.0;67.0;.0;.0;.0;.0;3.5;18.0;15.0;3.5;.8;.0;1.0;1.0;.0;1;00020128807
337.0;69.0;69.0;.0;.0;.0;.0;4.1;19.0;19.0;4.1;1.0;1.0;.0;1.0;.0;1;00020129617
319.0;63.0;70.0;.0;.0;.0;.0;3.1;17.0;11.0;3.1;.6;1.0;.0;1.0;.0;0;00020131703
326.0;61.0;67.0;.0;.0;.0;.0;4.3;16.0;16.0;4.3;1.0;1.0;.0;1.0;.0;1;00020131917
323.0;55.0;66.0;.0;.0;.0;.0;3.2;19.0;12.0;3.2;.6;1.0;.0;1.0;.0;0;00020134615
281.0;61.0;62.0;.0;.0;.0;.0;3.2;19.0;13.0;3.2;.7;1.0;.0;1.0;.0;1;00020134633
300.0;63.0;57.0;.0;.0;.0;.0;3.8;19.0;19.0;3.8;1.0;.0;1.0;1.0;.0;1;00020134924
355.0;67.0;67.0;.0;.0;.0;.0;4.1;19.0;19.0;4.1;1.0;1.0;.0;1.0;.0;1;00020134988
353.0;75.0;69.0;.0;.0;.0;.0;4.2;19.0;19.0;4.2;1.0;.0;1.0;1.0;.0;1;00020135469
388.0;72.0;85.0;.0;.0;.0;.0;3.5;17.0;17.0;3.5;1.0;.0;1.0;1.0;.0;1;00020136091
328.0;61.0;73.0;.0;.0;.0;.0;3.7;18.0;15.0;3.7;.8;1.0;.0;1.0;.0;1;00020137315
321.0;60.0;69.0;.0;.0;.0;.0;3.7;16.0;16.0;3.7;1.0;1.0;.0;1.0;.0;0;00020137343
368.0;84.0;66.0;.0;.0;.0;.0;3.5;16.0;16.0;3.5;1.0;1.0;.0;1.0;.0;0;00020137542
342.0;72.0;64.0;.0;.0;.0;.0;3.5;15.0;15.0;3.5;1.0;.0;1.0;.0;1.0;1;00020137556
335.0;55.0;79.0;.0;.0;.0;.0;3.4;17.0;17.0;3.4;1.0;1.0;.0;1.0;.0;1;00020137995
336.0;63.0;72.0;.0;.0;.0;.0;4.2;19.0;19.0;4.2;1.0;.0;1.0;1.0;.0;0;00020139039
306.0;62.0;52.0;.0;.0;.0;.0;1.7;16.0;4.0;1.7;.3;1.0;.0;1.0;.0;0;00020139240
374.0;72.0;72.0;.0;.0;.0;.0;3.9;17.0;17.0;3.9;1.0;1.0;.0;1.0;.0;1;00020140054
307.0;67.0;58.0;.0;.0;.0;.0;3.9;16.0;16.0;3.9;1.0;.0;1.0;1.0;.0;1;00020140718
318.0;62.0;63.0;.0;.0;.0;.0;3.7;19.0;19.0;3.7;1.0;.0;1.0;1.0;.0;1;00020140963
328.0;62.0;77.0;.0;.0;.0;.0;3.6;16.0;13.0;3.6;.8;.0;1.0;.0;1.0;1;00020141052
327.0;58.0;64.0;.0;.0;.0;.0;2.9;16.0;10.0;2.9;.6;1.0;.0;1.0;.0;1;00020141197
305.0;67.0;62.0;.0;.0;.0;.0;3.0;15.0;9.0;3.0;.6;.0;1.0;1.0;.0;0;00020141280
394.0;92.0;69.0;.0;.0;.0;.0;2.3;17.0;5.0;2.3;.3;1.0;.0;1.0;.0;0;00020141388
332.0;58.0;70.0;.0;.0;.0;.0;3.5;16.0;13.0;3.5;.8;1.0;.0;1.0;.0;1;00020141538
360.0;71.0;83.0;.0;.0;.0;.0;4.1;19.0;19.0;4.1;1.0;1.0;.0;1.0;.0;1;00020142441
348.0;69.0;70.0;.0;.0;.0;.0;3.9;19.0;19.0;3.9;1.0;.0;1.0;1.0;.0;1;00020143205
341.0;65.0;81.0;.0;.0;.0;.0;3.0;17.0;8.0;3.0;.5;1.0;.0;1.0;.0;0;00020143269
308.0;55.0;69.0;.0;.0;.0;.0;3.5;19.0;13.0;3.5;.7;.0;1.0;1.0;.0;1;00020144080
332.0;69.0;72.0;.0;.0;.0;.0;3.8;20.0;17.0;3.8;.9;.0;1.0;1.0;.0;1;00020146584
329.0;61.0;64.0;.0;.0;.0;.0;3.9;18.0;15.0;3.9;.8;1.0;.0;1.0;.0;1;00020147107
332.0;67.0;67.0;.0;.0;.0;.0;4.1;17.0;17.0;4.1;1.0;1.0;.0;1.0;.0;1;00020147110
343.0;58.0;72.0;.0;.0;.0;.0;3.9;18.0;18.0;3.9;1.0;1.0;.0;1.0;.0;1;00020147230
358.0;61.0;73.0;.0;.0;.0;.0;3.6;19.0;19.0;3.6;1.0;1.0;.0;1.0;.0;1;00020147449
398.0;70.0;96.0;.0;.0;.0;.0;4.0;20.0;20.0;4.0;1.0;.0;1.0;1.0;.0;0;00020147537
343.0;63.0;79.0;.0;.0;.0;.0;2.4;17.0;4.0;2.4;.2;.0;1.0;1.0;.0;0;00020147641
348.0;66.0;81.0;.0;.0;.0;.0;3.8;17.0;17.0;3.8;1.0;1.0;.0;1.0;.0;1;00020147649
350.0;66.0;72.0;.0;.0;.0;.0;3.3;17.0;14.0;3.3;.8;1.0;.0;1.0;.0;0;00020148069
337.0;67.0;68.0;.0;.0;.0;.0;3.8;16.0;13.0;3.8;.8;.0;1.0;.0;1.0;1;00020150989
349.0;66.0;65.0;.0;.0;.0;.0;3.7;16.0;13.0;3.7;.8;.0;1.0;1.0;.0;1;00020151068
302.0;59.0;62.0;.0;.0;.0;.0;4.1;19.0;19.0;4.1;1.0;.0;1.0;1.0;.0;1;00020151282
334.0;58.0;68.0;.0;.0;.0;.0;2.5;18.0;4.0;2.5;.2;1.0;.0;1.0;.0;1;00020151303
340.0;61.0;77.0;.0;.0;.0;.0;4.1;18.0;18.0;4.1;1.0;.0;1.0;1.0;.0;1;00020151308
333.0;58.0;67.0;.0;.0;.0;.0;1.2;14.0;.0;1.2;.0;1.0;.0;1.0;.0;0;00020151345
365.0;66.0;77.0;.0;.0;.0;.0;4.1;17.0;17.0;4.1;1.0;.0;1.0;1.0;.0;1;00020151479
354.0;58.0;66.0;.0;.0;.0;.0;4.1;19.0;19.0;4.1;1.0;.0;1.0;1.0;.0;1;00020151506
330.0;63.0;67.0;.0;.0;.0;.0;3.9;16.0;16.0;3.9;1.0;.0;1.0;1.0;.0;1;00020151570
408.0;70.0;96.0;.0;.0;.0;.0;4.5;19.0;19.0;4.5;1.0;1.0;.0;1.0;.0;1;00020151578
337.0;63.0;53.0;.0;.0;.0;.0;3.4;15.0;12.0;3.4;.8;1.0;.0;1.0;.0;0;00020151586
350.0;67.0;68.0;.0;.0;.0;.0;3.9;19.0;19.0;3.9;1.0;1.0;.0;1.0;.0;1;00020151861
336.0;61.0;66.0;.0;.0;.0;.0;4.0;16.0;16.0;4.0;1.0;1.0;.0;1.0;.0;1;00020151947
338.0;58.0;59.0;.0;.0;.0;.0;3.4;16.0;13.0;3.4;.8;.0;1.0;1.0;.0;1;00020152048
386.0;77.0;74.0;.0;.0;.0;.0;4.3;19.0;19.0;4.3;1.0;.0;1.0;1.0;.0;1;00020152133
354.0;64.0;73.0;.0;.0;.0;.0;4.1;20.0;20.0;4.1;1.0;.0;1.0;1.0;.0;1;00020152247
336.0;65.0;77.0;.0;.0;.0;.0;4.2;20.0;20.0;4.2;1.0;.0;1.0;1.0;.0;1;00020152250
312.0;59.0;68.0;.0;.0;.0;.0;3.0;19.0;12.0;3.0;.6;1.0;.0;1.0;.0;0;00020152272
343.0;61.0;67.0;.0;.0;.0;.0;3.7;19.0;16.0;3.7;.8;1.0;.0;1.0;.0;1;00020152276
379.0;70.0;79.0;.0;.0;.0;.0;3.5;19.0;19.0;3.5;1.0;1.0;.0;1.0;.0;0;00020152453
336.0;61.0;72.0;.0;.0;.0;.0;2.9;17.0;8.0;2.9;.5;1.0;.0;1.0;.0;0;00020152545
288.0;55.0;62.0;.0;.0;.0;.0;3.6;19.0;16.0;3.6;.8;1.0;.0;1.0;.0;0;00020152577
404.0;71.0;86.0;.0;.0;.0;.0;4.5;19.0;19.0;4.5;1.0;.0;1.0;1.0;.0;1;00020152579
380.0;69.0;88.0;.0;.0;.0;.0;4.3;18.0;18.0;4.3;1.0;.0;1.0;1.0;.0;1;00020152588
363.0;65.0;75.0;.0;.0;.0;.0;3.5;20.0;17.0;3.5;.9;1.0;.0;1.0;.0;0;00020152701
332.0;64.0;62.0;.0;.0;.0;.0;2.5;17.0;7.0;2.5;.4;1.0;.0;1.0;.0;0;00020153093
289.0;65.0;59.0;.0;.0;.0;.0;2.9;19.0;13.0;2.9;.7;.0;1.0;1.0;.0;0;00020153100
368.0;76.0;83.0;.0;.0;.0;.0;4.3;20.0;20.0;4.3;1.0;.0;1.0;.0;1.0;1;00020153113
389.0;80.0;81.0;.0;.0;.0;.0;3.6;17.0;14.0;3.6;.8;.0;1.0;1.0;.0;0;00020153178
345.0;62.0;72.0;.0;.0;.0;.0;4.0;20.0;20.0;4.0;1.0;.0;1.0;1.0;.0;1;00020153187
339.0;60.0;64.0;.0;.0;.0;.0;3.2;19.0;16.0;3.2;.8;1.0;.0;1.0;.0;0;00020153242
339.0;61.0;70.0;.0;.0;.0;.0;3.1;16.0;13.0;3.1;.8;.0;1.0;1.0;.0;0;00020153467
304.0;51.0;62.0;.0;.0;.0;.0;4.2;19.0;19.0;4.2;1.0;1.0;.0;1.0;.0;1;00020153756
313.0;62.0;59.0;.0;.0;.0;.0;3.3;19.0;16.0;3.3;.8;.0;1.0;1.0;.0;1;00020153823
332.0;61.0;63.0;.0;.0;.0;.0;3.3;19.0;12.0;3.3;.6;.0;1.0;1.0;.0;1;00020153951
317.0;72.0;55.0;.0;.0;.0;.0;3.1;19.0;12.0;3.1;.6;.0;1.0;1.0;.0;1;00020154075
351.0;70.0;76.0;.0;.0;.0;.0;4.2;17.0;17.0;4.2;1.0;.0;1.0;1.0;.0;1;00020154143
344.0;65.0;74.0;.0;.0;.0;.0;3.3;17.0;11.0;3.3;.6;1.0;.0;1.0;.0;0;00020154403
285.0;58.0;59.0;.0;.0;.0;.0;3.5;19.0;16.0;3.5;.8;.0;1.0;.0;1.0;1;00020154450
317.0;63.0;57.0;.0;.0;.0;.0;3.7;19.0;19.0;3.7;1.0;.0;1.0;1.0;.0;1;00020154528
345.0;69.0;75.0;.0;.0;.0;.0;3.8;20.0;20.0;3.8;1.0;1.0;.0;1.0;.0;1;00020154562
352.0;64.0;68.0;.0;.0;.0;.0;1.6;19.0;2.0;1.6;.1;1.0;.0;1.0;.0;0;00020154703
389.0;67.0;79.0;.0;.0;.0;.0;2.2;16.0;4.0;2.2;.3;1.0;.0;1.0;.0;0;00020246370
282.0;61.0;55.0;.0;.0;.0;.0;2.7;16.0;4.0;2.7;.3;.0;1.0;1.0;.0;0;00020246413
288.0;60.0;53.0;.0;.0;.0;.0;3.5;19.0;16.0;3.5;.8;.0;1.0;1.0;.0;1;00020246430
319.0;64.0;58.0;.0;.0;.0;.0;4.1;16.0;16.0;4.1;1.0;.0;1.0;1.0;.0;1;00020246449
377.0;66.0;73.0;.0;.0;.0;.0;4.0;14.0;14.0;4.0;1.0;.0;1.0;1.0;.0;0;00020246567
319.0;64.0;65.0;.0;.0;.0;.0;2.9;16.0;7.0;2.9;.4;1.0;.0;1.0;.0;0;00020246590
